date,actual,forecast,product
2024-08-12T00:00:00.000+0000,80.06,79.16366561137508,Crude Oil
2024-08-13T00:00:00.000+0000,78.35,79.5178793589049,Crude Oil
2024-08-14T00:00:00.000+0000,76.98,79.51177222532681,Crude Oil
2024-08-15T00:00:00.000+0000,78.16,79.26137974862468,Crude Oil
2024-08-16T00:00:00.000+0000,76.65,79.49234017034188,Crude Oil
2024-08-19T00:00:00.000+0000,74.37,79.84044678429359,Crude Oil
2024-08-20T00:00:00.000+0000,74.04,80.11526779530811,Crude Oil
2024-08-21T00:00:00.000+0000,71.93,80.35955313843212,Crude Oil
2024-08-22T00:00:00.000+0000,73.01,80.0725178602614,Crude Oil
2024-08-23T00:00:00.000+0000,74.83,80.53922049583194,Crude Oil
2024-08-26T00:00:00.000+0000,77.42,80.45982775931664,Crude Oil
2024-08-27T00:00:00.000+0000,75.53,80.64304176665965,Crude Oil
2024-08-28T00:00:00.000+0000,74.52,80.31325655344223,Crude Oil
2024-08-29T00:00:00.000+0000,75.91,80.16057821398972,Crude Oil
2024-08-30T00:00:00.000+0000,73.55,79.81267792618982,Crude Oil
2024-09-03T00:00:00.000+0000,70.34,79.73328518967452,Crude Oil
2024-09-04T00:00:00.000+0000,69.2,80.02032046784524,Crude Oil
2024-09-05T00:00:00.000+0000,69.15,80.17299880729774,Crude Oil
2024-09-06T00:00:00.000+0000,67.67,80.14576760031699,Crude Oil
2024-09-09T00:00:00.000+0000,68.71,79.91980365792728,Crude Oil
2024-09-10T00:00:00.000+0000,65.75,79.87094658930248,Crude Oil
2024-09-11T00:00:00.000+0000,67.31,79.84041092141197,Crude Oil
2024-09-12T00:00:00.000+0000,68.97,80.02973206233307,Crude Oil
2024-09-13T00:00:00.000+0000,68.65,80.15815075655517,Crude Oil
2024-09-16T00:00:00.000+0000,70.09,80.37190043178869,Crude Oil
2024-09-17T00:00:00.000+0000,71.19,80.29250769527339,Crude Oil
2024-09-18T00:00:00.000+0000,70.91,80.4696145690383,Crude Oil
2024-09-19T00:00:00.000+0000,71.95,80.4635074354602,Crude Oil
2024-09-20T00:00:00.000+0000,71.92,80.31303456852265,Crude Oil
2024-09-23T00:00:00.000+0000,70.37,80.19089189696065,Crude Oil
2024-09-24T00:00:00.000+0000,71.56,80.52678424375617,Crude Oil
2024-09-25T00:00:00.000+0000,69.69,80.19089189696065,Crude Oil
2024-09-26T00:00:00.000+0000,67.67,80.41074870577225,Crude Oil
2024-09-27T00:00:00.000+0000,68.18,80.56870035671615,Crude Oil
2024-09-30T00:00:00.000+0000,68.17,80.34884354790454,Crude Oil
2024-10-01T00:00:00.000+0000,69.83,80.09845107120243,Crude Oil
2024-10-02T00:00:00.000+0000,70.1,79.7992015258755,Crude Oil
2024-10-03T00:00:00.000+0000,73.71,79.60988038495441,Crude Oil
2024-10-04T00:00:00.000+0000,74.38,79.39444217333806,Crude Oil
2024-10-07T00:00:00.000+0000,77.14,79.38222790618185,Crude Oil
2024-10-08T00:00:00.000+0000,73.57,79.37612077260376,Crude Oil
2024-10-09T00:00:00.000+0000,73.24,79.14404969663593,Crude Oil
2024-10-10T00:00:00.000+0000,75.85,79.10740689516734,Crude Oil
2024-10-11T00:00:00.000+0000,75.56,79.12766006385053,Crude Oil
2024-10-14T00:00:00.000+0000,73.83,78.87726758714842,Crude Oil
2024-10-15T00:00:00.000+0000,70.58,78.90169612146082,Crude Oil
2024-10-16T00:00:00.000+0000,70.39,78.7001607133835,Crude Oil
2024-10-17T00:00:00.000+0000,70.67,78.55358950750909,Crude Oil
2024-10-18T00:00:00.000+0000,69.22,78.8632122621693,Crude Oil
