Price,Close,High,Low,Open,Volume
3/23/2022,0.009437079,0.010291772,0.009348853,0.009437079,0
3/24/2022,0.010339658,0.010434058,0.009807287,0.010339658,0
3/25/2022,0.009783301,0.010247014,0.009783301,0.009783301,0
3/28/2022,0.0099167,0.010453144,0.009807287,0.0099167,0
3/29/2022,0.010207716,0.011927482,0.010366455,0.010366455,0
3/30/2022,0.011433145,0.012017065,0.011115435,0.011177543,0
3/31/2022,0.01198107,0.012362468,0.011874369,0.01198107,0
4/1/2022,0.012237656,0.012351017,0.011240376,0.012237656,0
4/4/2022,0.011874369,0.012010641,0.011565374,0.011565374,0
4/5/2022,0.011945291,0.012035144,0.011613255,0.011945291,0
4/6/2022,0.011909725,0.012275211,0.011762838,0.011909725,0
4/7/2022,0.012181752,0.012950868,0.012123931,0.012181752,0
4/8/2022,0.012623873,0.013119056,0.0124471,0.012623873,0
4/11/2022,0.011752263,0.012435337,0.011752263,0.011752263,0
4/12/2022,0.01198107,0.012184379,0.011682721,0.012071463,0
4/13/2022,0.011717835,0.012307844,0.011717835,0.011717835,0
4/14/2022,0.012137395,0.012282749,0.011966532,0.012137395,0
4/15/2022,0.012108004,0.012381601,0.01198107,0.012108004,0
4/18/2022,0.012389272,0.012482057,0.012017049,0.012017065,0
4/19/2022,0.012331977,0.012658949,0.012256404,0.012331977,0
4/20/2022,0.012351017,0.012540758,0.011830539,0.012389272,0
4/21/2022,0.012086053,0.012603983,0.012086053,0.012086053,0
4/22/2022,0.012370114,0.013117937,0.012329239,0.012370114,0
4/25/2022,0.01292992,0.013618783,0.012778737,0.01292992,0
4/26/2022,0.013203063,0.013761879,0.013172453,0.013273163,0
4/27/2022,0.013474366,0.013564564,0.013080872,0.013163958,0
4/28/2022,0.013542796,0.013992865,0.013311237,0.013519908,0
4/29/2022,0.013752322,0.014236903,0.013620082,0.013752322,0
5/2/2022,0.013639773,0.014306765,0.013639773,0.013639773,0
5/3/2022,0.014171331,0.015129051,0.014022295,0.014171331,0
5/4/2022,0.014877655,0.015506281,0.014611232,0.014659533,0
5/5/2022,0.014933174,0.015873017,0.015137525,0.015873017,0
5/6/2022,0.01543448,0.01543448,0.014635932,0.01543448,0
5/9/2022,0.014500109,0.014659533,0.0141625,0.014500109,0
5/10/2022,0.014318443,0.014659639,0.014277311,0.014318443,0
5/11/2022,0.014318443,0.015130951,0.014318443,0.014318443,0
5/12/2022,0.014989134,0.015695015,0.014903574,0.014989134,0
5/13/2022,0.015363344,0.015924226,0.015130883,0.015304562,0
5/16/2022,0.015045513,0.015756717,0.015045513,0.015045513,0
5/17/2022,0.015482274,0.015603059,0.015143599,0.015482274,0
5/18/2022,0.015392905,0.015800308,0.015369246,0.015392905,0
5/19/2022,0.015572687,0.016229814,0.015452369,0.015572687,0
5/20/2022,0.016105654,0.017274171,0.015756717,0.016105654,0
5/23/2022,0.016008966,0.017486187,0.016008966,0.016008966,0
5/24/2022,0.017082337,0.017736157,0.0169305,0.0169305,0
5/25/2022,0.017516233,0.017896323,0.016572755,0.01725179,0
5/26/2022,0.016579596,0.017009696,0.015392905,0.016416317,0
5/27/2022,0.015572687,0.015636606,0.014751003,0.015470297,0
5/30/2022,0.015045513,0.016236428,0.015039857,0.015045513,0
5/31/2022,0.015482297,0.016504373,0.01563355,0.01563355,0
6/1/2022,0.015945148,0.01639613,0.01562693,0.015945148,0
6/2/2022,0.015756717,0.016396157,0.014983181,0.015756717,0
6/3/2022,0.015756717,0.01639613,0.015625611,0.015756717,0
